symbol,output,real_price
MSFT,426.8251647949219,427.85
MSI,456.0016784667969,456.45
MU,99.93103790283203,99.26
NCLH,26.378164291381836,25.64
NDAQ,75.3819808959961,76.82
NDSN,206.57809448242188,206.96
NEE,69.81147766113281,71.24
NEM,37.53159713745117,37.79
NFLX,881.78125,881.79
NI,34.3756103515625,35.57
NKE,75.44400787353516,72.0
NOC,455.4681396484375,455.14
NOW,1079.184326171875,1077.05
NRG,96.81640625,98.72
NSC,240.669677734375,236.96
NTAP,119.343994140625,118.0
NUE,124.3988037109375,120.62
NVDA,149.0623779296875,149.43
NVR,7985.74072265625,7988.67
NWS,32.651817321777344,30.27
NWSA,29.728933334350586,27.44
NXPI,213.18280029296875,213.41
O,49.88496398925781,52.73
ODFL,183.04348754882812,182.67
OKE,97.5357666015625,101.62
OMC,84.72561645507812,85.1
ON,64.58065795898438,64.51
ORCL,166.44622802734375,165.69
OXY,49.78718185424805,50.77
PANW,182.7360382080078,179.5
PARA,10.9346284866333,10.93
PAYC,206.04270935058594,207.03
PAYX,136.7386932373047,136.06
